any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
2005,8,2005-08,2.7,3.2,-17.6,13.3,3.7
2005,9,2005-09,2.4,3.3,-21.0,15.3,4.6
2005,10,2005-10,2.8,3.4,-22.5,15.3,5.8
2005,11,2005-11,-0.2,2.8,-20.3,12.2,-1.8
2005,12,2005-12,2.4,5.8,-16.0,14.3,2.9
2006,1,2006-01,0.1,2.3,-17.7,10.5,1.1
2006,2,2006-02,-0.2,3.2,-20.7,11.2,0.6
2006,3,2006-03,-0.1,4.1,-18.9,10.2,-0.9
2006,4,2006-04,0.9,5.5,-20.1,14.3,0.6
2006,5,2006-05,-0.3,5.0,-18.9,10.4,-1.6
2006,6,2006-06,-1.2,1.1,-24.2,10.3,-1.5
2006,7,2006-07,-0.7,3.5,-26.1,11.9,-4.3
2006,8,2006-08,0.8,1.3,-21.9,13.2,0.6
2006,9,2006-09,0.0,2.4,-21.5,12.4,-0.2
2006,10,2006-10,2.8,6.6,-18.4,14.7,3.6
2006,11,2006-11,3.2,6.6,-16.1,14.7,3.8
2006,12,2006-12,2.1,5.3,-18.9,12.9,1.7
2007,1,2007-01,0.0,2.2,-21.5,11.7,-0.4
2007,2,2007-02,0.5,3.0,-18.4,11.1,1.7
2007,3,2007-03,1.4,4.0,-15.7,13.6,2.5
2007,4,2007-04,0.3,4.5,-21.0,11.2,-1.2
2007,5,2007-05,0.0,3.4,-17.5,9.9,2.2
2007,6,2007-06,0.4,4.1,-19.1,10.6,1.2
2007,7,2007-07,2.2,7.3,-17.7,13.3,1.9
2007,8,2007-08,0.2,2.4,-21.1,12.4,0.9
2007,9,2007-09,-1.6,2.2,-23.6,10.0,-3.5
2007,10,2007-10,-2.5,1.3,-24.9,9.5,-3.5
2007,11,2007-11,-4.4,-1.5,-26.7,7.9,-5.0
2007,12,2007-12,-7.8,-6.8,-29.7,3.7,-8.2
2008,1,2008-01,-8.4,-4.3,-31.9,5.3,-10.2
2008,2,2008-02,-9.0,-5.4,-34.7,1.4,-9.9
2008,3,2008-03,-8.1,-5.8,-31.6,3.8,-5.4
2008,4,2008-04,-11.6,-6.9,-35.6,-1.4,-12.7
2008,5,2008-05,-15.9,-10.8,-42.0,-4.6,-20.2
2008,6,2008-06,-22.5,-16.6,-50.5,-13.7,-29.1
2008,7,2008-07,-23.4,-20.5,-53.3,-13.5,-27.7
2008,8,2008-08,-19.9,-15.4,-51.0,-8.0,-27.5
2008,9,2008-09,-20.7,-18.1,-55.3,-8.8,-23.6
2008,10,2008-10,-24.3,-19.1,-58.2,-13.3,-30.8
2008,11,2008-11,-23.1,-18.5,-60.1,-8.6,-29.0
2008,12,2008-12,-24.0,-18.6,-59.0,-9.6,-31.7
2009,1,2009-01,-23.6,-18.1,-60.9,-8.5,-30.7
2009,2,2009-02,-28.0,-24.9,-66.0,-15.8,-35.2
2009,3,2009-03,-21.5,-16.0,-65.2,-4.3,-31.7
2009,4,2009-04,-18.4,-11.9,-69.8,-0.3,-27.9
2009,5,2009-05,-13.7,-19.1,-74.7,4.2,-5.4
2009,6,2009-06,-12.8,-15.9,-74.2,4.6,-9.8
2009,7,2009-07,-9.8,-14.2,-66.9,7.8,-2.0
2009,8,2009-08,-8.8,-14.1,-68.4,9.1,-1.3
2009,9,2009-09,-9.5,-13.1,-71.6,7.7,-3.1
2009,10,2009-10,-9.0,-12.8,-69.4,8.1,-2.6
2009,11,2009-11,-9.5,-12.2,-66.9,7.7,-3.0
2009,12,2009-12,-7.0,-7.2,-65.1,9.3,-1.9
2010,1,2010-01,-7.0,-9.7,-70.1,9.2,0.5
2010,2,2010-02,-9.9,-11.6,-67.7,5.6,-3.5
2010,3,2010-03,-10.9,-9.2,-72.6,4.9,-8.6
2010,4,2010-04,-10.1,-10.8,-66.7,4.8,-5.5
2010,5,2010-05,-13.8,-11.3,-67.5,-0.1,-17.3
2010,6,2010-06,-16.9,-16.4,-63.0,-3.7,-18.4
2010,7,2010-07,-16.2,-14.6,-66.1,-3.6,-18.0
2010,8,2010-08,-11.2,-14.6,-62.0,3.6,-5.5
2010,9,2010-09,-9.5,-13.3,-61.4,7.0,-2.6
2010,10,2010-10,-10.5,-11.9,-59.4,6.5,-5.6
2010,11,2010-11,-11.0,-13.9,-57.6,5.4,-4.7
2010,12,2010-12,-13.2,-15.0,-64.9,4.8,-10.4
2011,1,2011-01,-13.8,-14.5,-64.1,4.5,-13.0
2011,2,2011-02,-11.5,-11.1,-59.3,7.0,-8.6
2011,3,2011-03,-11.4,-15.3,-60.6,4.8,-3.3
2011,4,2011-04,-12.2,-15.7,-55.9,4.3,-3.7
2011,5,2011-05,-10.1,-18.2,-60.4,9.0,2.5
2011,6,2011-06,-9.7,-19.1,-61.2,9.7,3.9
2011,7,2011-07,-8.6,-17.6,-60.9,11.5,3.9
2011,8,2011-08,-10.8,-18.6,-67.0,10.4,-0.3
2011,9,2011-09,-11.0,-15.7,-64.3,9.1,-1.7
2011,10,2011-10,-13.1,-19.8,-69.2,6.7,-3.7
2011,11,2011-11,-9.6,-16.8,-69.0,10.1,1.2
2011,12,2011-12,-9.8,-16.4,-70.3,10.1,0.8
2012,1,2012-01,-14.7,-18.6,-69.5,4.4,-9.6
2012,2,2012-02,-16.0,-19.0,-71.1,4.0,-13.2
2012,3,2012-03,-18.5,-22.7,-71.0,-0.5,-16.0
2012,4,2012-04,-20.0,-22.4,-70.1,-2.8,-16.8
2012,5,2012-05,-22.3,-24.7,-74.9,-5.5,-23.7
2012,6,2012-06,-19.2,-23.3,-74.2,-2.1,-14.6
2012,7,2012-07,-21.7,-26.8,-74.2,-4.7,-17.0
2012,8,2012-08,-28.0,-28.9,-82.6,-11.3,-33.1
2012,9,2012-09,-25.1,-27.9,-78.1,-8.9,-23.8
2012,10,2012-10,-22.7,-27.5,-73.5,-5.4,-20.4
2012,11,2012-11,-22.8,-31.0,-76.4,-4.0,-18.7
2012,12,2012-12,-24.7,-27.9,-75.3,-5.5,-26.0
2013,1,2013-01,-20.3,-28.6,-77.3,-0.3,-15.3
2013,2,2013-02,-21.5,-29.9,-76.6,-1.5,-17.4
2013,3,2013-03,-19.0,-26.8,-74.8,0.8,-15.0
2013,4,2013-04,-18.6,-26.8,-70.4,0.3,-11.6
2013,5,2013-05,-20.0,-25.7,-72.7,-1.1,-20.2
2013,6,2013-06,-17.4,-25.3,-67.7,-0.6,-10.0
2013,7,2013-07,-13.0,-22.1,-62.5,4.7,-3.8
2013,8,2013-08,-11.9,-21.2,-54.1,6.2,-2.3
2013,9,2013-09,-7.6,-18.0,-44.0,9.5,6.2
2013,10,2013-10,-10.5,-21.0,-48.5,6.1,4.3
2013,11,2013-11,-9.2,-21.9,-44.0,8.6,5.8
2013,12,2013-12,-9.0,-20.1,-42.8,8.2,6.4
2014,1,2014-01,-6.5,-19.8,-42.5,10.0,11.0
2014,2,2014-02,-7.5,-20.7,-43.4,8.8,8.9
2014,3,2014-03,-4.5,-17.3,-33.1,11.6,13.5
2014,4,2014-04,-4.8,-17.9,-33.3,11.3,12.4
2014,5,2014-05,-4.4,-17.6,-30.9,12.1,13.8
2014,6,2014-06,-1.3,-11.9,-27.5,14.0,14.8
2014,7,2014-07,-2.6,-13.1,-28.2,12.8,13.2
2014,8,2014-08,-0.5,-11.6,-21.0,14.0,17.5
2014,9,2014-09,-0.8,-12.0,-21.5,14.0,17.3
2014,10,2014-10,-1.4,-13.0,-27.0,13.6,14.2
2014,11,2014-11,-3.3,-11.5,-30.3,10.2,10.4
2014,12,2014-12,0.0,-11.5,-26.2,14.9,16.1
2015,1,2015-01,4.8,-5.2,-14.4,20.3,24.0
2015,2,2015-02,4.6,-6.7,-14.4,17.8,25.2
2015,3,2015-03,7.3,-3.2,-10.4,20.8,28.2
2015,4,2015-04,8.4,-2.7,-4.4,21.3,30.5
2015,5,2015-05,6.6,-3.0,-10.2,18.7,24.7
2015,6,2015-06,5.8,-3.1,-8.8,18.3,24.0
2015,7,2015-07,5.8,-2.4,-8.1,18.6,21.1
2015,8,2015-08,6.7,-1.1,-3.3,18.5,24.6
2015,9,2015-09,7.8,0.6,-2.7,20.3,23.6
2015,10,2015-10,8.9,2.2,-2.7,20.8,26.8
