municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Aldeaseca,2025,8,,2025,211,,
"Aldehuela, La",2025,5,,2025,141,,
Amavida,2025,4,,2025,131,,
"Arenal, El",2025,48,,2025,961,,
Arenas de San Pedro,2025,524,202.0,2025,6460,31.269349845201237,30.229989691160675
Arévalo,2025,528,256.0,2025,7851,32.607311170551526,33.28311563543073
Aveinte,2025,6,,2025,67,,
Ávila,2025,3374,1200.0,2025,59107,20.302163872299392,31.377685193413228
"Barco de Ávila, El",2025,222,97.0,2025,2308,42.02772963604853,
"Barraco, El",2025,136,62.0,2025,2086,29.721955896452542,
Barromán,2025,6,,2025,174,,
Becedas,2025,9,,2025,146,,
Bercial de Zapardiel,2025,5,,2025,166,,
"Berlanas, Las",2025,11,,2025,323,,
Blascomillán,2025,5,,2025,169,,
Blascosancho,2025,5,,2025,85,,
"Bohodón, El",2025,9,,2025,104,,
Bohoyo,2025,6,,2025,205,,
Bonilla de la Sierra,2025,6,,2025,139,,
Burgohondo,2025,97,42.0,2025,1269,33.09692671394799,
Cabezas de Alambre,2025,4,,2025,152,,
Cabezas del Pozo,2025,4,,2025,80,,
Cabezas del Villar,2025,8,,2025,217,,
Cabizuela,2025,8,,2025,89,,
Candeleda,2025,371,172.0,2025,5003,34.379372376574054,32.32602869638187
Cantiveros,2025,4,,2025,102,,
Cardeñosa,2025,24,,2025,430,,
"Carrera, La",2025,8,,2025,155,,
Casas del Puerto,2025,5,,2025,80,,
Casasola,2025,4,,2025,67,,
Casavieja,2025,94,40.0,2025,1362,29.368575624082233,
Casillas,2025,35,,2025,673,,
Castellanos de Zapardiel,2025,5,,2025,106,,
Cebreros,2025,155,66.0,2025,3345,19.730941704035875,
Cillán,2025,5,,2025,84,,
"Colilla, La",2025,42,,2025,375,,
Collado de Contreras,2025,7,,2025,147,,
Crespos,2025,31,,2025,463,,
Cuevas del Valle,2025,40,,2025,506,,
Donjimeno,2025,4,,2025,69,,
Espinosa de los Caballeros,2025,6,,2025,104,,
Flores de Ávila,2025,9,,2025,262,,
Fontiveros,2025,73,,2025,715,,
"Fresno, El",2025,28,,2025,579,,
Fuente el Saúz,2025,7,,2025,146,,
Gavilanes,2025,32,,2025,523,,
Gemuño,2025,4,,2025,147,,
Gotarrendura,2025,5,,2025,173,,
Guisando,2025,29,,2025,458,,
Hernansancho,2025,9,,2025,140,,
Herradón de Pinares,2025,32,,2025,526,,
Higuera de las Dueñas,2025,18,,2025,250,,
"Horcajada, La",2025,28,,2025,434,,
Horcajo de las Torres,2025,18,,2025,425,,
"Hornillo, El",2025,15,,2025,263,,
Hoyocasero,2025,14,,2025,294,,
"Hoyo de Pinares, El",2025,123,45.0,2025,2179,20.65167508031207,
Hoyos del Espino,2025,37,,2025,350,,
Langa,2025,19,,2025,441,,
Lanzahíta,2025,57,,2025,771,,
"Losar del Barco, El",2025,8,,2025,99,,
"Llanos de Tormes, Los",2025,4,,2025,57,,
Madrigal de las Altas Torres,2025,66,34.0,2025,1281,26.54176424668228,
Maello,2025,44,,2025,713,,
Mamblas,2025,11,,2025,191,,
Mancera de Arriba,2025,5,,2025,66,,
Martiherrero,2025,24,,2025,372,,
Martínez,2025,7,,2025,109,,
Mediana de Voltoya,2025,6,,2025,117,,
Medinilla,2025,6,,2025,79,,
Mijares,2025,43,,2025,718,,
Mingorría,2025,17,,2025,422,,
"Mirón, El",2025,7,,2025,93,,
Mombeltrán,2025,57,,2025,922,,
Muñana,2025,32,,2025,499,,
Muñico,2025,7,,2025,77,,
Muñogalindo,2025,13,,2025,299,,
Muñomer del Peco,2025,5,,2025,113,,
Narrillos del Álamo,2025,4,,2025,56,,
Narros del Castillo,2025,4,,2025,151,,
Narros de Saldueña,2025,5,,2025,102,,
Navacepedilla de Corneja,2025,6,,2025,99,,
Nava de Arévalo,2025,34,,2025,647,,
Nava del Barco,2025,5,,2025,81,,
Navahondilla,2025,16,,2025,359,,
